Salticidae Blackwall,1841;Afraflacilla huntorum;Żabka, 1993; Australia (Western Australia, Victoria)
Salticidae Blackwall,1841;Afraflacilla imitator;(Wesołowska & Haddad, 2013); South Africa
Salticidae Blackwall,1841;Afraflacilla javanica;(Prószyński & Deeleman-Reinhold, 2012); Indonesia (Java)
Salticidae Blackwall,1841;Afraflacilla karinae;(Haddad & Wesołowska, 2011); South Africa
Salticidae Blackwall,1841;Afraflacilla kraussi;(Marples, 1964); Marshall Is., Cook Is., Samoa
Salticidae Blackwall,1841;Afraflacilla mikhailovi;(Prószyński, 2000); Israel
Salticidae Blackwall,1841;Afraflacilla mushrif;(Wesołowska & van Harten, 2010); United Arab Emirates
Salticidae Blackwall,1841;Afraflacilla philippinensis;(Prószyński, 1992); Philippines
Salticidae Blackwall,1841;Afraflacilla refulgens;(Wesołowska & Cumming, 2008); Zimbabwe
Salticidae Blackwall,1841;Afraflacilla reiskindi;(Prószyński, 1992); Borneo
Salticidae Blackwall,1841;Afraflacilla risbeci;Berland & Millot, 1941; Senegal
Salticidae Blackwall,1841;Afraflacilla roberti;(Wesołowska, 2011); Kenya
Salticidae Blackwall,1841;Afraflacilla scenica;Denis, 1955; Niger
Salticidae Blackwall,1841;Afraflacilla similis;Berland & Millot, 1941; Senegal
Salticidae Blackwall,1841;Afraflacilla spiniger;(O. Pickard-Cambridge, 1872); Egypt to South Sudan
Salticidae Blackwall,1841;Afraflacilla stridulator;Żabka, 1993; Australia (Western Australia)
Salticidae Blackwall,1841;Afraflacilla tamaricis;(Simon, 1885); North Africa, Israel, Saudi Arabia, Yemen
Salticidae Blackwall,1841;Afraflacilla tarajalis;Miñano & Tamajón, 2017; Spain, Portugal, Morocco
Salticidae Blackwall,1841;Afraflacilla venustula;(Wesołowska & Haddad, 2009); South Africa
Salticidae Blackwall,1841;Afraflacilla vestjensi;Żabka, 1993; Australia (Northern Territory)
Salticidae Blackwall,1841;Afraflacilla wadis;(Prószyński, 1989); Saudi Arabia, Israel, Yemen
Salticidae Blackwall,1841;Afraflacilla yeni;Żabka, 1993; Australia (Victoria)
Salticidae Blackwall,1841;Afraflacilla zuluensis;(Haddad & Wesołowska, 2013); South Africa
Salticidae Blackwall,1841;Afrobeata firma;Wesołowska & van Harten, 1994; Yemen (Socotra)
Salticidae Blackwall,1841;Afrobeata latithorax;Caporiacco, 1941; Ethiopia
Salticidae Blackwall,1841;Afrobeata magnifica;Wesołowska & Russell-Smith, 2000; Tanzania
Salticidae Blackwall,1841;Afromarengo bimaculata;(Peckham & Peckham, 1903); South Africa
Salticidae Blackwall,1841;Afromarengo coriacea;(Simon, 1900); Central, East, Southern Africa
Salticidae Blackwall,1841;Afromarengo lyrifera;(Wanless, 1978); Angola, Tanzania
Salticidae Blackwall,1841;Afromarengo plana;Haddad & Wesołowska, 2013; South Africa
Salticidae Blackwall,1841;Agobardus anormalis;Keyserling, 1885; Caribbean
Salticidae Blackwall,1841;Agobardus anormalis montanus;Bryant, 1943; Hispaniola
Salticidae Blackwall,1841;Agobardus bahoruco;Zhang & Maddison, 2012; Hispaniola
Salticidae Blackwall,1841;Agobardus blandus;Bryant, 1947; Puerto Rico
Salticidae Blackwall,1841;Agobardus brevitarsus;Bryant, 1943; Hispaniola
Salticidae Blackwall,1841;Agobardus cordiformis;Zhang & Maddison, 2012; Hispaniola
Salticidae Blackwall,1841;Agobardus cubanus;(Bryant, 1940); Cuba
Salticidae Blackwall,1841;Agobardus fimbriatus;Bryant, 1940; Cuba
Salticidae Blackwall,1841;Agobardus gramineus;Zhang & Maddison, 2012; Hispaniola
Salticidae Blackwall,1841;Agobardus minutus;(Bryant, 1940); Cuba
Salticidae Blackwall,1841;Agobardus modestus;(Bryant, 1943); Hispaniola
Salticidae Blackwall,1841;Agobardus mundus;Bryant, 1940; Cuba
Salticidae Blackwall,1841;Agobardus obscurus;Bryant, 1943; Hispaniola
Salticidae Blackwall,1841;Agobardus oviedo;Zhang & Maddison, 2012; Hispaniola
Salticidae Blackwall,1841;Agobardus perpilosus;Bryant, 1943; Hispaniola
Salticidae Blackwall,1841;Agobardus phylladiphilus;Zhang & Maddison, 2012; Hispaniola
Salticidae Blackwall,1841;Agobardus prominens;Bryant, 1940; Cuba
